fact_id,company_id,ticker_id,price_id,date,ticker,adj_close,close,high,low,open,volume,exchange,company_name,sector,industry,marketcap,city,state,country
7057,25,25,6300,2019-12-31,GOOGL,1339.39,1339.39,1340.66,1332.13,1335.79,975700.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7058,25,25,6299,2019-12-30,GOOGL,1339.71,1339.71,1357.0,1337.84,1356.81,999700.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7059,25,25,6298,2019-12-27,GOOGL,1354.64,1354.64,1367.05,1353.0,1364.0,1160600.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7060,25,25,6297,2019-12-26,GOOGL,1362.47,1362.47,1363.2,1345.51,1346.55,1183100.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7061,25,25,6296,2019-12-24,GOOGL,1344.43,1344.43,1352.01,1344.17,1350.21,673400.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7062,25,25,6295,2019-12-23,GOOGL,1350.63,1350.63,1361.85,1348.0,1358.73,996800.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7063,25,25,6294,2019-12-20,GOOGL,1351.22,1351.22,1364.0,1350.73,1363.1,2504500.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7064,25,25,6293,2019-12-19,GOOGL,1356.44,1356.44,1357.53,1348.75,1351.91,1446100.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7065,25,25,6292,2019-12-18,GOOGL,1351.91,1351.91,1359.43,1350.46,1357.0,1166500.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7066,25,25,6291,2019-12-17,GOOGL,1354.89,1354.89,1364.33,1350.77,1362.41,1647400.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7067,25,25,6290,2019-12-16,GOOGL,1360.7,1360.7,1363.53,1350.61,1355.0,1406400.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7068,25,25,6289,2019-12-13,GOOGL,1346.87,1346.87,1351.35,1341.66,1347.9,1658500.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7069,25,25,6288,2019-12-12,GOOGL,1348.49,1348.49,1354.58,1338.2,1343.21,1455700.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7070,25,25,6287,2019-12-11,GOOGL,1344.25,1344.25,1349.89,1341.1,1348.3,1024000.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7071,25,25,6286,2019-12-10,GOOGL,1342.89,1342.89,1348.0,1334.0,1339.94,880300.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7072,25,25,6285,2019-12-09,GOOGL,1342.99,1342.99,1357.55,1336.07,1338.86,1542100.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7073,25,25,6284,2019-12-06,GOOGL,1339.39,1339.39,1342.47,1331.23,1332.75,1648400.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7074,25,25,6283,2019-12-05,GOOGL,1326.96,1326.96,1327.98,1314.32,1327.0,1220400.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7075,25,25,6282,2019-12-04,GOOGL,1318.94,1318.94,1324.27,1303.05,1306.1,1775300.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7076,25,25,6281,2019-12-03,GOOGL,1294.74,1294.74,1297.23,1277.05,1278.66,1263500.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7077,25,25,6280,2019-12-02,GOOGL,1288.86,1288.86,1305.44,1280.38,1302.56,1326900.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7078,25,25,6279,2019-11-29,GOOGL,1304.09,1304.09,1309.95,1303.23,1306.6,640100.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
7079,25,25,6278,2019-11-27,GOOGL,1312.13,1312.13,1317.64,1309.47,1315.42,940400.0,NMS,Alphabet Inc.,Communication Services,Internet Content & Information,1590000000000.0,Mountain View,CA,United States
